id,name,display_order,last_modified_user_id,last_modified_date,created_user_id,created_date
1,"Eyelid haemorrage/bruising",1,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
2,"Conjunctivital chemosis",2,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
3,"Retro bulbar / peribulbar haemorrage",3,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
4,"Globe/optic nerve penetration",4,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
5,"Inadequate akinesia",5,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
6,"Patient pain - Mild",6,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
7,"Patient pain - Moderate",7,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
8,"Patient pain - Severe",8,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
9,"Systemic problems",9,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
10,"Operation cancelled due to complication",10,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
